Column Name,Data Type
Respondent,int64
MainBranch,object
Hobbyist,object
OpenSourcer,object
OpenSource,object
Employment,object
Country,object
Student,object
EdLevel,object
UndergradMajor,object
EduOther,object
OrgSize,object
DevType,object
YearsCode,object
Age1stCode,object
YearsCodePro,object
CareerSat,object
JobSat,object
MgrIdiot,object
MgrMoney,object
MgrWant,object
JobSeek,object
LastHireDate,object
LastInt,object
FizzBuzz,object
JobFactors,object
ResumeUpdate,object
CurrencySymbol,object
CurrencyDesc,object
CompTotal,float64
CompFreq,object
ConvertedComp,float64
WorkWeekHrs,float64
WorkPlan,object
WorkChallenge,object
WorkRemote,object
WorkLoc,object
ImpSyn,object
CodeRev,object
CodeRevHrs,float64
UnitTests,object
PurchaseHow,object
PurchaseWhat,object
LanguageWorkedWith,object
LanguageDesireNextYear,object
DatabaseWorkedWith,object
DatabaseDesireNextYear,object
PlatformWorkedWith,object
PlatformDesireNextYear,object
WebFrameWorkedWith,object
WebFrameDesireNextYear,object
MiscTechWorkedWith,object
MiscTechDesireNextYear,object
DevEnviron,object
OpSys,object
Containers,object
BlockchainOrg,object
BlockchainIs,object
BetterLife,object
ITperson,object
OffOn,object
SocialMedia,object
Extraversion,object
ScreenName,object
SOVisit1st,object
SOVisitFreq,object
SOVisitTo,object
SOFindAnswer,object
SOTimeSaved,object
SOHowMuchTime,object
SOAccount,object
SOPartFreq,object
SOJobs,object
EntTeams,object
SOComm,object
WelcomeChange,object
SONewContent,object
Age,float64
Gender,object
Trans,object
Sexuality,object
Ethnicity,object
Dependents,object
SurveyLength,object
SurveyEase,object
